epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
48,0.029459,0.0092152,0,0.71866,0.67718,0.72842,0.52362,0.02702,0.0090271,0,0.0059235,0.0059235,0.0059235
49,0.030065,0.0093646,0,0.71839,0.67394,0.72732,0.52513,0.026671,0.0090566,0,0.0057826,0.0057826,0.0057826
50,0.029379,0.0092105,0,0.72907,0.67072,0.72964,0.52688,0.026637,0.0090058,0,0.0056413,0.0056413,0.0056413
51,0.028502,0.0090431,0,0.74648,0.66128,0.73177,0.53115,0.026449,0.0090077,0,0.0055,0.0055,0.0055
52,0.028552,0.0089734,0,0.74413,0.66323,0.73154,0.528,0.02658,0.0089805,0,0.0053587,0.0053587,0.0053587
53,0.028081,0.0089752,0,0.75747,0.6566,0.73482,0.53165,0.026553,0.0089423,0,0.0052174,0.0052174,0.0052174
54,0.028053,0.0088264,0,0.73437,0.67111,0.73416,0.53252,0.026543,0.0089566,0,0.0050765,0.0050765,0.0050765
55,0.027758,0.0089031,0,0.70779,0.69396,0.73695,0.53172,0.026389,0.0089557,0,0.004936,0.004936,0.004936
56,0.0277,0.008682,0,0.71454,0.68668,0.73466,0.53364,0.026286,0.0089679,0,0.004796,0.004796,0.004796
57,0.027389,0.0087375,0,0.72593,0.68304,0.73523,0.53381,0.026259,0.0089404,0,0.0046568,0.0046568,0.0046568
58,0.02726,0.0086902,0,0.70378,0.70608,0.73728,0.53702,0.026155,0.0088976,0,0.0045184,0.0045184,0.0045184
59,0.02688,0.0085631,0,0.71626,0.69739,0.74046,0.53881,0.026083,0.0088619,0,0.0043809,0.0043809,0.0043809
60,0.026966,0.0086842,0,0.72657,0.68485,0.73935,0.53748,0.026066,0.0088596,0,0.0042445,0.0042445,0.0042445
61,0.027064,0.0087865,0,0.75316,0.66566,0.73927,0.53702,0.026016,0.008856,0,0.0041094,0.0041094,0.0041094
62,0.026709,0.0084503,0,0.75724,0.66283,0.74071,0.53783,0.025968,0.0088645,0,0.0039757,0.0039757,0.0039757
63,0.026841,0.0084244,0,0.73512,0.68162,0.74119,0.53873,0.025991,0.0088916,0,0.0038434,0.0038434,0.0038434
64,0.02667,0.008381,0,0.73077,0.68586,0.74365,0.54163,0.025931,0.0088731,0,0.0037128,0.0037128,0.0037128
65,0.026375,0.0084668,0,0.76816,0.66384,0.74389,0.54335,0.025853,0.0088467,0,0.003584,0.003584,0.003584
66,0.026301,0.0084385,0,0.75117,0.67698,0.74509,0.54353,0.025822,0.0088186,0,0.003457,0.003457,0.003457
67,0.026176,0.0083562,0,0.74921,0.68057,0.74445,0.54393,0.025858,0.0088069,0,0.0033321,0.0033321,0.0033321
68,0.026453,0.0083382,0,0.73824,0.6885,0.74495,0.54499,0.025841,0.0087992,0,0.0032093,0.0032093,0.0032093
69,0.026389,0.0082897,0,0.72618,0.69746,0.74464,0.54484,0.025733,0.0088087,0,0.0030888,0.0030888,0.0030888
70,0.026131,0.0083755,0,0.76356,0.66343,0.74441,0.545,0.02574,0.0088026,0,0.0029706,0.0029706,0.0029706
71,0.025938,0.0083142,0,0.74631,0.679,0.74457,0.54717,0.025698,0.0088079,0,0.002855,0.002855,0.002855
72,0.025929,0.0081528,0,0.74842,0.68073,0.74465,0.54598,0.025682,0.0088134,0,0.0027419,0.0027419,0.0027419
73,0.025523,0.0081914,0,0.74638,0.68324,0.74538,0.54685,0.025684,0.0088085,0,0.0026316,0.0026316,0.0026316
74,0.025681,0.0081918,0,0.75053,0.68234,0.74582,0.54772,0.025614,0.0088052,0,0.0025241,0.0025241,0.0025241
75,0.025564,0.0081001,0,0.75469,0.6792,0.74684,0.5488,0.025565,0.0087934,0,0.0024195,0.0024195,0.0024195
76,0.026132,0.0083273,0,0.7513,0.68405,0.74768,0.54954,0.025513,0.0087717,0,0.002318,0.002318,0.002318
77,0.026125,0.0082861,0,0.7365,0.69834,0.7481,0.54977,0.025473,0.0087482,0,0.0022196,0.0022196,0.0022196
78,0.026046,0.0083019,0,0.74247,0.69315,0.74793,0.54989,0.025493,0.0087351,0,0.0021245,0.0021245,0.0021245
79,0.025917,0.0083566,0,0.75096,0.6891,0.74872,0.55038,0.025466,0.0087276,0,0.0020327,0.0020327,0.0020327
80,0.025381,0.0081544,0,0.75946,0.68481,0.74966,0.55116,0.025439,0.0087088,0,0.0019443,0.0019443,0.0019443
81,0.025354,0.0081938,0,0.74881,0.69598,0.75134,0.55232,0.02541,0.0086891,0,0.0018594,0.0018594,0.0018594
82,0.025526,0.0081944,0,0.74968,0.69679,0.7528,0.55267,0.025372,0.0086913,0,0.0017781,0.0017781,0.0017781
83,0.025226,0.0080675,0,0.76146,0.68529,0.7524,0.5532,0.025334,0.0086845,0,0.0017005,0.0017005,0.0017005
84,0.025532,0.0081675,0,0.75231,0.69092,0.75266,0.55411,0.025313,0.0086859,0,0.0016267,0.0016267,0.0016267
85,0.025305,0.0079559,0,0.73601,0.70548,0.75295,0.55503,0.025307,0.0086815,0,0.0015566,0.0015566,0.0015566
86,0.025144,0.0079368,0,0.73324,0.7079,0.75298,0.55498,0.025303,0.0086775,0,0.0014905,0.0014905,0.0014905
87,0.025119,0.0079054,0,0.73385,0.70506,0.7531,0.55491,0.0253,0.0086772,0,0.0014283,0.0014283,0.0014283
88,0.024873,0.0078114,0,0.7381,0.70245,0.75286,0.55502,0.0253,0.0086755,0,0.0013701,0.0013701,0.0013701
89,0.024708,0.0077265,0,0.73751,0.70447,0.75328,0.55532,0.025291,0.0086796,0,0.001316,0.001316,0.001316
90,0.02473,0.0077915,0,0.74805,0.69375,0.75349,0.5553,0.025284,0.0086777,0,0.001266,0.001266,0.001266
91,0.025173,0.007829,0,0.74094,0.69955,0.75294,0.55563,0.025276,0.0086796,0,0.0012202,0.0012202,0.0012202
92,0.024829,0.0077991,0,0.7557,0.6885,0.7531,0.55608,0.025281,0.0086794,0,0.0011787,0.0011787,0.0011787
