loss,accuracy,val_loss,val_accuracy
1.0470173358917236,0.7446507811546326,0.2458457499742508,0.9423210620880127
0.18611253798007965,0.9503094553947449,0.16014239192008972,0.9583044052124023
0.07368869334459305,0.9784261584281921,0.14177794754505157,0.9735927581787109
0.037751443684101105,0.9890362620353699,0.1071920171380043,0.9756775498390198
0.04026179015636444,0.9890362620353699,0.11866617202758789,0.9742876887321472
0.03874479979276657,0.989920437335968,0.12334967404603958,0.9735927581787109
0.018994878977537155,0.996109664440155,0.11205095797777176,0.9805420637130737
0.03740262612700462,0.9909814596176147,0.12146863341331482,0.9749826192855835
0.03895564004778862,0.989920437335968,0.14773157238960266,0.9728978276252747
0.026829583570361137,0.993810772895813,0.15147103369235992,0.9742876887321472
0.045880019664764404,0.9895667433738708,0.18726342916488647,0.9631688594818115
0.01627996191382408,0.9948717951774597,0.1660628616809845,0.9770674109458923
0.006308917887508869,0.9982316493988037,0.15074960887432098,0.9749826192855835
0.014848175458610058,0.9962864518165588,0.13785722851753235,0.9756775498390198
0.0056810746900737286,0.9985853433609009,0.14260773360729218,0.9840166568756104
0.03842936083674431,0.9920424222946167,0.20794251561164856,0.9631688594818115
0.02766253612935543,0.9946949481964111,0.12595687806606293,0.9847115874290466
0.002514123683795333,0.999469518661499,0.20555584132671356,0.9722028970718384
0.017972292378544807,0.9964632987976074,0.16341397166252136,0.9798471331596375
0.003423847956582904,0.9987621307373047,0.15945591032505035,0.9784572720527649
